position,title,episodes,release_date,members,score,details
1.0,Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,3018336,9.12,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
2.0,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),Apr 2022 - Jun 2022,687194,9.1,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
3.0,Bleach: Sennen Kessen-hen,TV (? eps),Oct 2022 -,278650,9.08,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
4.0,Gintama°,TV (51 eps),Apr 2015 - Mar 2016,563143,9.08,https://myanimelist.net/anime/28977/Gintama°
5.0,Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,2324018,9.08,https://myanimelist.net/anime/9253/Steins_Gate
6.0,Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,1955510,9.06,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
7.0,Gintama',TV (51 eps),Apr 2011 - Mar 2012,496374,9.05,https://myanimelist.net/anime/9969/Gintama
8.0,Gintama: The Final,Movie (1 eps),Jan 2021 - Jan 2021,116606,9.05,https://myanimelist.net/anime/39486/Gintama__The_Final
9.0,Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,294655,9.04,https://myanimelist.net/anime/15417/Gintama__Enchousen
10.0,Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,2500603,9.04,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
11.0,Ginga Eiyuu Densetsu,OVA (110 eps),Jan 1988 - Mar 1997,291660,9.03,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
12.0,Fruits Basket: The Final,TV (13 eps),Apr 2021 - Jun 2021,384683,9.02,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
13.0,Gintama.,TV (12 eps),Jan 2017 - Mar 2017,281700,8.99,https://myanimelist.net/anime/34096/Gintama
